bank_link|pr_id|pr_link
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centuryfsb.html|PR-205-2009|https://www.fdic.gov/news/press-releases/2009/pr09205.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ucb.html|PR-201-2009|https://www.fdic.gov/news/press-releases/2009/pr09201.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gateway-mo.html|PR-200-2009|https://www.fdic.gov/news/press-releases/2009/pr09200.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/prosperan.html|PR-199-2009|https://www.fdic.gov/news/press-releases/2009/pr09199.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homefsb-mi.html|PR-198-2009|https://www.fdic.gov/news/press-releases/2009/pr09198.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedsecurity-ga.html|PR-197-2009|https://www.fdic.gov/news/press-releases/2009/pr09197.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northhouston-tx.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/madisonville-tx.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-teague.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/park-il.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificnational-ca.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/calnational.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sandiegonational.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-lemont.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankusa-az.html|PR-195-2009|https://www.fdic.gov/news/press-releases/2009/pr09195.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstdupage.html|PR-192-2009|https://www.fdic.gov/news/press-releases/2009/pr09192.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverview-mn.html|PR-191-2009|https://www.fdic.gov/news/press-releases/2009/pr09191.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elmwood.html|PR-190-2009|https://www.fdic.gov/news/press-releases/2009/pr09190.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/flagship.html|PR-189-2009|https://www.fdic.gov/news/press-releases/2009/pr09189.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-fl.html|PR-188-2009|https://www.fdic.gov/news/press-releases/2009/pr09188.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanunited.html|PR-187-2009|https://www.fdic.gov/news/press-releases/2009/pr09187.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/partners-fl.html|PR-186-2009|https://www.fdic.gov/news/press-releases/2009/pr09186.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanjoaquin.html|PR-185-2009|https://www.fdic.gov/news/press-releases/2009/pr09185.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scnb-co.html|PR-181-2009|https://www.fdic.gov/news/press-releases/2009/pr09181.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jennings-mn.html|PR-180-2009|https://www.fdic.gov/news/press-releases/2009/pr09180.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warren-mi.html|PR-179-2009|https://www.fdic.gov/news/press-releases/2009/pr09179.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgian.html|PR-177-2009|https://www.fdic.gov/news/press-releases/2009/pr09177.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-ky.html|PR-174-2009|https://www.fdic.gov/news/press-releases/2009/pr09174.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-in.html|PR-174-2009|https://www.fdic.gov/news/press-releases/2009/pr09174.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/venture-wa.html|PR-170-2009|https://www.fdic.gov/news/press-releases/2009/pr09170.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/brickwell-mn.html|PR-169-2009|https://www.fdic.gov/news/press-releases/2009/pr09169.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/corus.html|PR-168-2009|https://www.fdic.gov/news/press-releases/2009/pr09168.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststate-az.html|PR-165-2009|https://www.fdic.gov/news/press-releases/2009/pr09165.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/platinum-il.html|PR-164-2009|https://www.fdic.gov/news/press-releases/2009/pr09164.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantus.html|PR-163-2009|https://www.fdic.gov/news/press-releases/2009/pr09163.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inbank.html|PR-162-2009|https://www.fdic.gov/news/press-releases/2009/pr09162.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankkc-mo.html|PR-161-2009|https://www.fdic.gov/news/press-releases/2009/pr09161.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/affinity-ca.html|PR-157-2009|https://www.fdic.gov/news/press-releases/2009/pr09157.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet-mn.html|PR-156-2009|https://www.fdic.gov/news/press-releases/2009/pr09156.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bradford-md.html|PR-155-2009|https://www.fdic.gov/news/press-releases/2009/pr09155.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty-tx.html|PR-150-2009|https://www.fdic.gov/news/press-releases/2009/pr09150.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitalsouth.html|PR-149-2009|https://www.fdic.gov/news/press-releases/2009/pr09149.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coweta.html|PR-148-2009|https://www.fdic.gov/news/press-releases/2009/pr09148.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ebank.html|PR-147-2009|https://www.fdic.gov/news/press-releases/2009/pr09147.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-nv.html|PR-146-2009|https://www.fdic.gov/news/press-releases/2009/pr09146.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-az.html|PR-145-2009|https://www.fdic.gov/news/press-releases/2009/pr09145.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/union-az.html|PR-144-2009|https://www.fdic.gov/news/press-releases/2009/pr09144.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/colonial-al.html|PR-143-2009|https://www.fdic.gov/news/press-releases/2009/pr09143.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dwelling.html|PR-142-2009|https://www.fdic.gov/news/press-releases/2009/pr09142.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-prineville.html|PR-141-2009|https://www.fdic.gov/news/press-releases/2009/pr09141.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-venice.html|PR-140-2009|https://www.fdic.gov/news/press-releases/2009/pr09140.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-sarasota.html|PR-139-2009|https://www.fdic.gov/news/press-releases/2009/pr09139.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mutual-harvey.html|PR-137-2009|https://www.fdic.gov/news/press-releases/2009/pr09137.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americano.html|PR-136-2009|https://www.fdic.gov/news/press-releases/2009/pr09136.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplescommunity-oh.html|PR-135-2009|https://www.fdic.gov/news/press-releases/2009/pr09135.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity-fl.html|PR-134-2009|https://www.fdic.gov/news/press-releases/2009/pr09134.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-altus.html|PR-133-2009|https://www.fdic.gov/news/press-releases/2009/pr09133.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-bibb.html|PR-130-2009|https://www.fdic.gov/news/press-releases/2009/pr09130.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-houston.html|PR-130-2009|https://www.fdic.gov/news/press-releases/2009/pr09130.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-jones.html|PR-130-2009|https://www.fdic.gov/news/press-releases/2009/pr09130.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-gwinnett.html|PR-130-2009|https://www.fdic.gov/news/press-releases/2009/pr09130.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-metro.html|PR-130-2009|https://www.fdic.gov/news/press-releases/2009/pr09130.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-fulton.html|PR-130-2009|https://www.fdic.gov/news/press-releases/2009/pr09130.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterford.html|PR-129-2009|https://www.fdic.gov/news/press-releases/2009/pr09129.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/temecula.html|PR-126-2009|https://www.fdic.gov/news/press-releases/2009/pr09126.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vineyard.html|PR-125-2009|https://www.fdic.gov/news/press-releases/2009/pr09125.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankfirst.html|PR-124-2009|https://www.fdic.gov/news/press-releases/2009/pr09124.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont.html|PR-123-2009|https://www.fdic.gov/news/press-releases/2009/pr09123.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wyoming.html|PR-122-2009|https://www.fdic.gov/news/press-releases/2009/pr09122.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/founders.html|PR-119-2009|https://www.fdic.gov/news/press-releases/2009/pr09119.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millennium.html|PR-118-2009|https://www.fdic.gov/news/press-releases/2009/pr09118.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/danville.html|PR-117-2009|https://www.fdic.gov/news/press-releases/2009/pr09117.html
