bank_name|bank_fdic_link|city|state|fdic_cert|aquiring_institution|closing_date|funds
Gold Canyon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/goldcanyon.html|Gold Canyon|AZ|58066|First Scottsdale Bank, National Association|April 5, 2013|10472
Frontier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/frontier-ga.html|LaGrange|GA|16431|HeritageBank of the South|March 8, 2013|10471
Covenant Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/covenant-il.html|Chicago|IL|22476|Liberty Bank and Trust Company|February 15, 2013|10470
1st Regents Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stregents.html|Andover|MN|57157|First Minnesota Bank|January 18, 2013|10469
Westside Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westside.html|University Place|WA|33997|Sunwest Bank|January 11, 2013|10468
Community Bank of the Ozarks|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cmbkozarks.html|Sunrise Beach|MO|27331|Bank of Sullivan|December 14, 2012|10467
Hometown Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hometown.html|Braselton|GA|57928|CertusBank, National Association|November 16, 2012|10466
Citizens First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfnb.html|Princeton|IL|3731|Heartland Bank and Trust Company|November 2, 2012|10464
Heritage Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage-fl.html|Lutz|FL|35009|Centennial Bank|November 2, 2012|10465
NOVA Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/novabank.html|Berwyn|PA|27148|No Acquirer|October 26, 2012|10463
Excel Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/excelbank.html|Sedalia|MO|19189|Simmons First National Bank|October 19, 2012|10460
First East Side Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firsteastside.html|Tamarac|FL|28144|Stearns Bank N.A.|October 19, 2012|10461
GulfSouth Private Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gulfsouth.html|Destin|FL|58073|SmartBank|October 19, 2012|10462
First United Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstunited.html|Crete|IL|20685|Old Plank Trail Community Bank, National Association|September 28, 2012|10459
Truman Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/truman.html|St. Louis|MO|27316|Simmons First National Bank|September 14, 2012|10458
First Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommbk-mn.html|Bloomington|MN|35246|Republic Bank & Trust Company|September 7, 2012|10457
Waukegan Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waukegan.html|Waukegan|IL|28243|First Midwest Bank|August 3, 2012|10456
Jasper Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jasper.html|Jasper|GA|16240|Stearns Bank N.A.|July 27, 2012|10455
Second Federal Savings and Loan Association of Chicago|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/secondfederal.html|Chicago|IL|27986|Hinsdale Bank & Trust Company|July 20, 2012|10453
Heartland Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heartland.html|Leawood|KS|1361|Metcalf Bank|July 20, 2012|10452
First Cherokee State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cherokee.html|Woodstock|GA|32711|Community & Southern Bank|July 20, 2012|10450
Georgia Trust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgiatrust.html|Buford|GA|57847|Community & Southern Bank|July 20, 2012|10451
The Royal Palm Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/royalpalm.html|Naples|FL|57096|First National Bank of the Gulf Coast|July 20, 2012|10454
Glasgow Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/glasgow.html|Glasgow|MO|1056|Regional Missouri Bank|July 13, 2012|10449
Montgomery Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/montgomery.html|Ailey|GA|19498|Ameris Bank|July 6, 2012|10448
The Farmers Bank of Lynchburg|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/farmersbank.html|Lynchburg|TN|1690|Clayton Bank and Trust|June 15, 2012|10447
Security Exchange Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securityexchange.html|Marietta|GA|35299|Fidelity Bank|June 15, 2012|10446
Putnam State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/putnam.html|Palatka|FL|27405|Harbor Community Bank|June 15, 2012|10445
Waccamaw Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waccamaw.html|Whiteville|NC|34515|First Community Bank|June 8, 2012|10444
Farmers' and Traders' State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ftsb.html|Shabbona|IL|9257|First State Bank|June 8, 2012|10442
Carolina Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/carolina.html|Charleston|SC|35372|Bank of North Carolina|June 8, 2012|10441
First Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcapital.html|Kingfisher|OK|416|F & M Bank|June 8, 2012|10443
Alabama Trust Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alabamatrust.html|Sylacauga|AL|35224|Southern States Bank|May 18, 2012|10440
Security Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitybank.html|North Lauderdale|FL|23156|Banesco USA|May 4, 2012|10439
Palm Desert National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/palmdesert.html|Palm Desert|CA|23632|Pacific Premier Bank|April 27, 2012|10437
Plantation Federal Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/plantation.html|Pawleys Island|SC|32503|First Federal Bank|April 27, 2012|10438
Inter Savings Bank, fsb D/B/A InterBank, fsb|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/interbank.html|Maple Grove|MN|31495|Great Southern Bank|April 27, 2012|10436
HarVest Bank of Maryland|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/harvest.html|Gaithersburg|MD|57766|Sonabank|April 27, 2012|10435
Bank of the Eastern Shore|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/easternshore.html|Cambridge|MD|26759|No Acquirer|April 27, 2012|10434
Fort Lee Federal Savings Bank, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fortlee.html|Fort Lee|NJ|35527|Alma Bank|April 20, 2012|10433
Fidelity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fidelity.html|Dearborn|MI|33883|The Huntington National Bank|March 30, 2012|10432
Premier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-il.html|Wilmette|IL|35419|International Bank of Chicago|March 23, 2012|10431
Covenant Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/covenant.html|Rock Spring|GA|58068|Stearns Bank, N.A.|March 23, 2012|10430
New City Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newcity.html|Chicago|IL|57597|No Acquirer|March 9, 2012|10429
Global Commerce Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/global.html|Doraville|GA|34046|Metro City Bank|March 2, 2012|10428
Home Savings of America|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homesvgs.html|Little Falls|MN|29178|No Acquirer|February 24, 2012|10427
Central Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbg.html|Ellaville|GA|5687|Ameris Bank|February 24, 2012|10426
SCB Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scbbank.html|Shelbyville|IN|29761|First Merchants Bank, National Association|February 10, 2012|10425
Charter National Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cnbt.html|Hoffman Estates|IL|23187|Barrington Bank & Trust Company, National Association|February 10, 2012|10424
BankEast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankeast.html|Knoxville|TN|19869|U.S. Bank, N.A.|January 27, 2012|10420
Patriot Bank Minnesota|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/patriot-mn.html|Forest Lake|MN|34823|First Resource Bank|January 27, 2012|10422
Tennessee Commerce Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tcb.html|Franklin|TN|35296|Republic Bank & Trust Company|January 27, 2012|10423
First Guaranty Bank and Trust Company of Jacksonville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fgbtcj.html|Jacksonville|FL|16579|CenterState Bank of Florida, N.A.|January 27, 2012|10421
American Eagle Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americaneagle.html|Boothwyn|PA|31581|Capital Bank, N.A.|January 20, 2012|10417
The First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststatebank-ga.html|Stockbridge|GA|19252|Hamilton State Bank|January 20, 2012|10419
Central Florida State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfsb.html|Belleview|FL|57186|CenterState Bank of Florida, N.A.|January 20, 2012|10418
Western National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernnatl.html|Phoenix|AZ|57917|Washington Federal|December 16, 2011|10416
Premier Community Bank of the Emerald Coast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-fl.html|Crestview|FL|58343|Summit Bank|December 16, 2011|10415
Central Progressive Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centralprog.html|Lacombe|LA|19657|First NBC Bank|November 18, 2011|10413
Polk County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/polkcounty.html|Johnston|IA|14194|Grinnell State Bank|November 18, 2011|10414
Community Bank of Rockmart|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockmart.html|Rockmart|GA|57860|Century Bank of Georgia|November 10, 2011|10412
SunFirst Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunfirst.html|Saint George|UT|57087|Cache Valley Bank|November 4, 2011|10411
Mid City Bank, Inc.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/midcity.html|Omaha|NE|19397|Premier Bank|November 4, 2011|10410
All American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allamerican.html|Des Plaines|IL|57759|International Bank of Chicago|October 28, 2011|10409
Community Banks of Colorado|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commbanksco.html|Greenwood Village|CO|21132|Bank Midwest, N.A.|October 21, 2011|10405
Community Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commcapbk.html|Jonesboro|GA|57036|State Bank and Trust Company|October 21, 2011|10406
Decatur First Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/decatur.html|Decatur|GA|34392|Fidelity Bank|October 21, 2011|10407
Old Harbor Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldharbor.html|Clearwater|FL|57537|1st United Bank|October 21, 2011|10408
Country Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/countrybank.html|Aledo|IL|35395|Blackhawk Bank & Trust|October 14, 2011|10402
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststatebank-nj.html|Cranford|NJ|58046|Northfield Bank|October 14, 2011|10403
Blue Ridge Savings Bank, Inc.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blueridge.html|Asheville|NC|32347|Bank of North Carolina|October 14, 2011|10401
Piedmont Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont-ga.html|Gray|GA|57256|State Bank and Trust Company|October 14, 2011|10404
Sun Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunsecurity.html|Ellington|MO|20115|Great Southern Bank|October 7, 2011|10400
The RiverBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverbank.html|Wyoming|MN|10216|Central Bank|October 7, 2011|10399
First International Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstintlbank.html|Plano|TX|33513|American First National Bank|September 30, 2011|10398
Citizens Bank of Northern California|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbnc.html|Nevada City|CA|33983|Tri Counties Bank|September 23, 2011|10397
Bank of the Commonwealth|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/boc-va.html|Norfolk|VA|20408|Southern Bank and Trust Company|September 23, 2011|10396
The First National Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbf.html|Milton|FL|25155|CharterBank|September 9, 2011|10395
CreekSide Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/creekside.html|Woodstock|GA|58226|Georgia Commerce Bank|September 2, 2011|10393
Patriot Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/patriot.html|Cumming|GA|58273|Georgia Commerce Bank|September 2, 2011|10394
First Choice Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstchoice-il.html|Geneva|IL|57212|Inland Bank & Trust|August 19, 2011|10390
First Southern National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsouthern-ga.html|Statesboro|GA|57239|Heritage Bank of the South|August 19, 2011|10391
Lydian Private Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lydian.html|Palm Beach|FL|35356|Sabadell United Bank, N.A.|August 19, 2011|10392
Public Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/publicsvgs.html|Huntingdon Valley|PA|34130|Capital Bank, N.A.|August 18, 2011|10389
The First National Bank of Olathe|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbo.html|Olathe|KS|4744|Enterprise Bank & Trust|August 12, 2011|10388
Bank of Whitman|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/whitman.html|Colfax|WA|22528|Columbia State Bank|August 5, 2011|10387
Bank of Shorewood|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shorewood.html|Shorewood|IL|22637|Heartland Bank and Trust Company|August 5, 2011|10386
