bank_name|bank_fdic_link|city|state|fdic_cert|aquiring_institution|closing_date|funds
New Century Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/new-century-il.html|Chicago|IL|34821|MB Financial Bank, N.A.|April 23, 2010|10222
Citizens Bank and Trust Company of Chicago|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-bank.html|Chicago|IL|34658|Republic Bank of Chicago|April 23, 2010|10220
Broadway Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/broadway.html|Chicago|IL|22853|MB Financial Bank, N.A.|April 23, 2010|10219
Amcore Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amcore.html|Rockford|IL|3735|Harris N.A.|April 23, 2010|10218
City Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citybank.html|Lynnwood|WA|21521|Whidbey Island Bank|April 16, 2010|10212
Tamalpais Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tamalpais.html|San Rafael|CA|33493|Union Bank, N.A.|April 16, 2010|10217
Innovative Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/innovative.html|Oakland|CA|23876|Center Bank|April 16, 2010|10214
Butler Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/butlerbank.html|Lowell|MA|26619|People's United Bank|April 16, 2010|10211
Riverside National Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverside-natl.html|Fort Pierce|FL|24067|TD Bank, N.A.|April 16, 2010|10216
AmericanFirst Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanfirst.html|Clermont|FL|57724|TD Bank, N.A.|April 16, 2010|10210
First Federal Bank of North Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ffbnf.html|Palatka|FL|28886|TD Bank, N.A.|April 16, 2010|10213
Lakeside Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lakeside-comm.html|Sterling Heights|MI|34878|No Acquirer|April 16, 2010|10215
Beach First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beachfirst.html|Myrtle Beach|SC|34242|Bank of North Carolina|April 9, 2010|10209
Desert Hills Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/deserthills.html|Phoenix|AZ|57060|New York Community Bank|March 26, 2010|10205
Unity National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unity-natl.html|Cartersville|GA|34678|Bank of the Ozarks|March 26, 2010|10208
Key West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/key-west.html|Key West|FL|34684|Centennial Bank|March 26, 2010|10206
McIntosh Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mcintosh.html|Carrollton|GA|57399|CharterBank|March 26, 2010|10207
State Bank of Aurora|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/state-aurora.html|Aurora|MN|8221|Northern State Bank|March 19, 2010|10203
First Lowndes Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstlowndes.html|Fort Deposit|AL|24957|First Citizens Bank|March 19, 2010|10204
Bank of Hiawassee|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofhiawassee.html|Hiawassee|GA|10054|Citizens South Bank|March 19, 2010|10202
Appalachian Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/appalachian.html|Ellijay|GA|33989|Community & Southern Bank|March 19, 2010|10199
Advanta Bank Corp.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/advanta-ut.html|Draper|UT|33535|No Acquirer|March 19, 2010|10200
Century Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cent-security.html|Duluth|GA|58104|Bank of Upson|March 19, 2010|10198
American National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amer-natl-oh.html|Parma|OH|18806|The National Bank and Trust Company|March 19, 2010|10201
Statewide Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/statewide.html|Covington|LA|29561|Home Bank|March 12, 2010|10196
Old Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldsouthern.html|Orlando|FL|58182|Centennial Bank|March 12, 2010|10197
The Park Avenue Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkavenue-ny.html|New York|NY|27096|Valley National Bank|March 12, 2010|10195
LibertyPointe Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/libertypointe.html|New York|NY|58071|Valley National Bank|March 11, 2010|10194
Centennial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centennial-ut.html|Ogden|UT|34430|No Acquirer|March 5, 2010|10193
Waterfield Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterfield.html|Germantown|MD|34976|No Acquirer|March 5, 2010|10190
Bank of Illinois|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofillinois.html|Normal|IL|9268|Heartland Bank and Trust Company|March 5, 2010|10191
Sun American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunamerican.html|Boca Raton|FL|27126|First-Citizens Bank & Trust Company|March 5, 2010|10192
Rainier Pacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rainier.html|Tacoma|WA|38129|Umpqua Bank|February 26, 2010|10189
Carson River Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/carsonriver.html|Carson City|NV|58352|Heritage Bank of Nevada|February 26, 2010|10188
La Jolla Bank, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lajolla.html|La Jolla|CA|32423|OneWest Bank, FSB|February 19, 2010|10185
George Washington Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgewashington.html|Orland Park|IL|29952|FirstMerit Bank, N.A.|February 19, 2010|10184
The La Coste National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lacoste.html|La Coste|TX|3287|Community National Bank|February 19, 2010|10186
Marco Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/marco.html|Marco Island|FL|57586|Mutual of Omaha Bank|February 19, 2010|10187
1st American State Bank of Minnesota|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stamerican.html|Hancock|MN|15448|Community Development Bank, FSB|February 5, 2010|10183
American Marine Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanmarine.html|Bainbridge Island|WA|16730|Columbia State Bank|January 29, 2010|10178
First Regional Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstregional.html|Los Angeles|CA|23011|First-Citizens Bank & Trust Company|January 29, 2010|10177
Community Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbt-cornelia.html|Cornelia|GA|5702|SCBT National Association|January 29, 2010|10180
Marshall Bank, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/marshall-mn.html|Hallock|MN|16133|United Valley Bank|January 29, 2010|10182
Florida Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/floridacommunity.html|Immokalee|FL|5672|Premier American Bank, N.A.|January 29, 2010|10181
First National Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnational-carrollton.html|Carrollton|GA|16480|Community & Southern Bank|January 29, 2010|10179
Columbia River Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbiariver.html|The Dalles|OR|22469|Columbia State Bank|January 22, 2010|10176
Evergreen Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/evergreen-wa.html|Seattle|WA|20501|Umpqua Bank|January 22, 2010|10172
Charter Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/charter-nm.html|Santa Fe|NM|32498|Charter Bank|January 22, 2010|10175
Bank of Leeton|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/leeton.html|Leeton|MO|8265|Sunflower Bank, N.A.|January 22, 2010|10174
Premier American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premieramerican.html|Miami|FL|57147|Premier American Bank, N.A.|January 22, 2010|10173
Barnes Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/barnes.html|Kaysville|UT|1252|No Acquirer|January 15, 2010|10171
St. Stephen State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ststephen.html|St. Stephen|MN|17522|First State Bank of St. Joseph|January 15, 2010|10169
Town Community Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/towncommunity.html|Antioch|IL|34705|First American Bank|January 15, 2010|10170
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon-wa.html|Bellingham|WA|22977|Washington Federal Savings and Loan Association|January 8, 2010|10168
First Federal Bank of California, F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstfederal-ca.html|Santa Monica|CA|28536|OneWest Bank, FSB|December 18, 2009|10167
Imperial Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialcapital.html|La Jolla|CA|26348|City National Bank|December 18, 2009|10161
Independent Bankers' Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ibb.html|Springfield|IL|26820|The Independent BankersBank (TIB)|December 18, 2009|10166
New South Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newsouth.html|Irondale|AL|32276|Beal Bank|December 18, 2009|10163
Citizens State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensstate-mi.html|New Baltimore|MI|1006|No Acquirer|December 18, 2009|10162
Peoples First Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesfirst-fl.html|Panama City|FL|32167|Hancock Bank|December 18, 2009|10165
RockBridge Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockbridge.html|Atlanta|GA|58315|No Acquirer|December 18, 2009|10164
SolutionsBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/solutions.html|Overland Park|KS|4731|Arvest Bank|December 11, 2009|10160
Valley Capital Bank, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleycapital.html|Mesa|AZ|58399|Enterprise Bank & Trust|December 11, 2009|10159
Republic Federal Bank, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/republicfederal.html|Miami|FL|22846|1st United Bank|December 11, 2009|10158
Greater Atlantic Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlantic-va.html|Reston|VA|32583|Sonabank|December 4, 2009|10156
Benchmark Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/benchmark-il.html|Aurora|IL|10440|MB Financial Bank, N.A.|December 4, 2009|10154
AmTrust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrust.html|Cleveland|OH|29776|New York Community Bank|December 4, 2009|10155
The Tattnall Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tattnall.html|Reidsville|GA|12080|Heritage Bank of the South|December 4, 2009|10153
First Security National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsecurity.html|Norcross|GA|26290|State Bank and Trust Company|December 4, 2009|10157
The Buckhead Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/buckheadcommunity.html|Atlanta|GA|34663|State Bank and Trust Company|December 4, 2009|10152
Commerce Bank of Southwest Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commercesw-fl.html|Fort Myers|FL|58016|Central Bank|November 20, 2009|10151
Pacific Coast National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificcoastnatl.html|San Clemente|CA|57914|Sunwest Bank|November 13, 2009|10150
Orion Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/orion-fl.html|Naples|FL|22427|IBERIABANK|November 13, 2009|10149
Century Bank, F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centuryfsb.html|Sarasota|FL|32267|IBERIABANK|November 13, 2009|10148
United Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ucb.html|San Francisco|CA|32469|East West Bank|November 6, 2009|10147
Gateway Bank of St. Louis|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gateway-mo.html|St. Louis|MO|19450|Central Bank of Kansas City|November 6, 2009|10146
Prosperan Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/prosperan.html|Oakdale|MN|35074|Alerus Financial, N.A.|November 6, 2009|10143
Home Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homefsb-mi.html|Detroit|MI|30329|Liberty Bank and Trust Company|November 6, 2009|10144
United Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedsecurity-ga.html|Sparta|GA|22286|Ameris Bank|November 6, 2009|10145
North Houston Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northhouston-tx.html|Houston|TX|18776|U.S. Bank N.A.|October 30, 2009|10138
Madisonville State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/madisonville-tx.html|Madisonville|TX|33782|U.S. Bank N.A.|October 30, 2009|10142
Citizens National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-teague.html|Teague|TX|25222|U.S. Bank N.A.|October 30, 2009|10141
Park National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/park-il.html|Chicago|IL|11677|U.S. Bank N.A.|October 30, 2009|10140
Pacific National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificnational-ca.html|San Francisco|CA|30006|U.S. Bank N.A.|October 30, 2009|10139
California National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/calnational.html|Los Angeles|CA|34659|U.S. Bank N.A.|October 30, 2009|10134
San Diego National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sandiegonational.html|San Diego|CA|23594|U.S. Bank N.A.|October 30, 2009|10135
Community Bank of Lemont|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-lemont.html|Lemont|IL|35291|U.S. Bank N.A.|October 30, 2009|10137
Bank USA, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankusa-az.html|Phoenix|AZ|32218|U.S. Bank N.A.|October 30, 2009|10136
First DuPage Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstdupage.html|Westmont|IL|35038|First Midwest Bank|October 23, 2009|10128
Riverview Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverview-mn.html|Otsego|MN|57525|Central Bank|October 23, 2009|10133
Bank of Elmwood|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elmwood.html|Racine|WI|18321|Tri City National Bank|October 23, 2009|10132
Flagship National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/flagship.html|Bradenton|FL|35044|First Federal Bank of Florida|October 23, 2009|10129
Hillcrest Bank Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-fl.html|Naples|FL|58336|Stonegate Bank|October 23, 2009|10131
American United Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanunited.html|Lawrenceville|GA|57794|Ameris Bank|October 23, 2009|10127
Partners Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/partners-fl.html|Naples|FL|57959|Stonegate Bank|October 23, 2009|10130
San Joaquin Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanjoaquin.html|Bakersfield|CA|23266|Citizens Business Bank|October 16, 2009|10126
Southern Colorado National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scnb-co.html|Pueblo|CO|57263|Legacy Bank|October 2, 2009|10123
Jennings State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jennings-mn.html|Spring Grove|MN|11416|Central Bank|October 2, 2009|10124
Warren Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warren-mi.html|Warren|MI|34824|The Huntington National Bank|October 2, 2009|10125
Georgian Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgian.html|Atlanta|GA|57151|First Citizens Bank and Trust Company, Inc.|September 25, 2009|10122
Irwin Union Bank, F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-ky.html|Louisville|KY|57068|First Financial Bank, N.A.|September 18, 2009|10121
Irwin Union Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-in.html|Columbus|IN|10100|First Financial Bank, N.A.|September 18, 2009|10120
Venture Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/venture-wa.html|Lacey|WA|22868|First-Citizens Bank & Trust Company|September 11, 2009|10119
Brickwell Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/brickwell-mn.html|Woodbury|MN|57736|CorTrust Bank N.A.|September 11, 2009|10118
Corus Bank, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/corus.html|Chicago|IL|13693|MB Financial Bank, N.A.|September 11, 2009|10117
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststate-az.html|Flagstaff|AZ|34875|Sunwest Bank|September 4, 2009|10114
Platinum Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/platinum-il.html|Rolling Meadows|IL|35030|No Acquirer|September 4, 2009|10115
Vantus Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantus.html|Sioux City|IA|27732|Great Southern Bank|September 4, 2009|10116
InBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inbank.html|Oak Forest|IL|20203|MB Financial Bank, N.A.|September 4, 2009|10113
First Bank of Kansas City|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankkc-mo.html|Kansas City|MO|25231|Great American Bank|September 4, 2009|10112
Affinity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/affinity-ca.html|Ventura|CA|27197|Pacific Western Bank|August 28, 2009|10110
Mainstreet Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet-mn.html|Forest Lake|MN|1909|Central Bank|August 28, 2009|10111
Bradford Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bradford-md.html|Baltimore|MD|28312|Manufacturers and Traders Trust Company (M&T Bank)|August 28, 2009|10109
Guaranty Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty-tx.html|Austin|TX|32618|BBVA Compass|August 21, 2009|10105
CapitalSouth Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitalsouth.html|Birmingham|AL|22130|IBERIABANK|August 21, 2009|10106
First Coweta Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coweta.html|Newnan|GA|57702|United Bank|August 21, 2009|10108
ebank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ebank.html|Atlanta|GA|34682|Stearns Bank, N.A.|August 21, 2009|10107
Community Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-nv.html|Las Vegas|NV|34043|No Acquirer|August 14, 2009|10100
Community Bank of Arizona|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-az.html|Phoenix|AZ|57645|MidFirst Bank|August 14, 2009|10101
Union Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/union-az.html|Gilbert|AZ|34485|MidFirst Bank|August 14, 2009|10102
Colonial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/colonial-al.html|Montgomery|AL|9609|Branch Banking & Trust Company, (BB&T)|August 14, 2009|10103
Dwelling House Savings and Loan Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dwelling.html|Pittsburgh|PA|31559|PNC Bank, N.A.|August 14, 2009|10104
Community First Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-prineville.html|Prineville|OR|23268|Home Federal Bank|August 7, 2009|10092
Community National Bank of Sarasota County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-venice.html|Venice|FL|27183|Stearns Bank, N.A.|August 7, 2009|10099
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-sarasota.html|Sarasota|FL|27364|Stearns Bank, N.A.|August 7, 2009|10098
Mutual Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mutual-harvey.html|Harvey|IL|18659|United Central Bank|July 31, 2009|10094
First BankAmericano|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americano.html|Elizabeth|NJ|34270|Crown Bank|July 31, 2009|10097
Peoples Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplescommunity-oh.html|West Chester|OH|32288|First Financial Bank, N.A.|July 31, 2009|10096
Integrity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity-fl.html|Jupiter|FL|57604|Stonegate Bank|July 31, 2009|10095
First State Bank of Altus|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-altus.html|Altus|OK|9873|Herring Bank|July 31, 2009|10093
Security Bank of Jones County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-jones.html|Gray|GA|8486|State Bank and Trust Company|July 24, 2009|10088
Security Bank of Houston County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-houston.html|Perry|GA|27048|State Bank and Trust Company|July 24, 2009|10087
Security Bank of Bibb County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-bibb.html|Macon|GA|27367|State Bank and Trust Company|July 24, 2009|10085
Security Bank of North Metro|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-metro.html|Woodstock|GA|57105|State Bank and Trust Company|July 24, 2009|10090
Security Bank of North Fulton|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-fulton.html|Alpharetta|GA|57430|State Bank and Trust Company|July 24, 2009|10089
Security Bank of Gwinnett County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-gwinnett.html|Suwanee|GA|57346|State Bank and Trust Company|July 24, 2009|10086
Waterford Village Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterford.html|Williamsville|NY|58065|Evans Bank, N.A.|July 24, 2009|10091
Temecula Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/temecula.html|Temecula|CA|34341|First-Citizens Bank & Trust Company|July 17, 2009|10082
Vineyard Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vineyard.html|Rancho Cucamonga|CA|23556|California Bank & Trust|July 17, 2009|10083
BankFirst|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankfirst.html|Sioux Falls|SD|34103|Alerus Financial, N.A.|July 17, 2009|10081
First Piedmont Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont.html|Winder|GA|34594|First American Bank and Trust Company|July 17, 2009|10084
Bank of Wyoming|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wyoming.html|Thermopolis|WY|22754|Central Bank & Trust|July 10, 2009|10080
Founders Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/founders.html|Worth|IL|18390|The PrivateBank and Trust Company|July 2, 2009|10074
Millennium State Bank of Texas|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millennium.html|Dallas|TX|57667|State Bank of Texas|July 2, 2009|10079
First National Bank of Danville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/danville.html|Danville|IL|3644|First Financial Bank, N.A.|July 2, 2009|10078
The Elizabeth State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elizabeth.html|Elizabeth|IL|9262|Galena State Bank and Trust Company|July 2, 2009|10073
Rock River Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockriver.html|Oregon|IL|15302|The Harvard State Bank|July 2, 2009|10075
First State Bank of Winchester|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/winchester.html|Winchester|IL|11710|The First National Bank of Beardstown|July 2, 2009|10077
John Warner Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warner.html|Clinton|IL|12093|State Bank of Lincoln|July 2, 2009|10076
Mirae Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mirae.html|Los Angeles|CA|57332|Wilshire State Bank|June 26, 2009|10072
MetroPacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropacific.html|Irvine|CA|57893|Sunwest Bank|June 26, 2009|10071
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon.html|Pine City|MN|9744|Stearns Bank, N.A.|June 26, 2009|10070
Neighborhood Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/neighbor.html|Newnan|GA|35285|CharterBank|June 26, 2009|10069
Community Bank of West Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communityga.html|Villa Rica|GA|57436|No Acquirer|June 26, 2009|10068
First National Bank of Anthony|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anthony.html|Anthony|KS|4614|Bank of Kansas|June 19, 2009|10066
Cooperative Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cooperative.html|Wilmington|NC|27837|First Bank|June 19, 2009|10065
Southern Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scb.html|Fayetteville|GA|35251|United Community Bank|June 19, 2009|10067
Bank of Lincolnwood|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincolnwood.html|Lincolnwood|IL|17309|Republic Bank of Chicago|June 5, 2009|10064
Citizens National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensnational.html|Macomb|IL|5757|Morton Community Bank|May 22, 2009|10063
Strategic Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/strategiccapital.html|Champaign|IL|35175|Midland States Bank|May 22, 2009|10062
BankUnited, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankunited.html|Coral Gables|FL|32247|BankUnited|May 21, 2009|10061
Westsound Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westsound.html|Bremerton|WA|34843|Kitsap Bank|May 8, 2009|10060
America West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americawest.html|Layton|UT|35461|Cache Valley Bank|May 1, 2009|10057
Citizens Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens.html|Ridgewood|NJ|57563|North Jersey Community Bank|May 1, 2009|10058
Silverton Bank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverton.html|Atlanta|GA|26535|No Acquirer|May 1, 2009|10059
First Bank of Idaho|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankidaho.html|Ketchum|ID|34396|U.S. Bank, N.A.|April 24, 2009|10055
